Filer,VServer,Volume,Aggregate,Size,State,Policy,Junction-Path,Used,Snapshot-Policy,Clone-Volume,Compression-Space-Saved,Dedupe-Space-Saved,Clone-Parent-Name,QTree,QTree-Quota,QTree-Used,Space-Needed,Space-Alloc-Needed,CIFS,Owner,EMT-2,BU,Site:Path
noiclapa01-cls-mgt,vs0,icd_common,noiclapa01_p6_SAS0,250GB,online,icd,/icd/icd_common,5GB,none,false,0GB,0GB,-,-,-,-,5GB,245GB,-,atulg,daveu,Custom_IC_&_PCB_Group,noida:/icd/common
noiclapa01-cls-mgt,vs0,icd_dsk_home,noiclapa01_p1_SAS0,120GB,online,icd,/icd/icd_dsk_home,111GB,none,false,0GB,0GB,-,-,-,-,111GB,9GB,-,-,-,-,noida:/hm/babita
noiclapa01-cls-mgt,vs0,icd_ft,noiclapa01_p5_SAS0,30GB,online,default,/icd/icd_ft,0GB,none,false,0GB,0GB,-,-,-,-,0GB,30GB,-,-,-,-,noida:/icd/ft
noiclapa01-cls-mgt,vs0,icd_ipostore,noiclapa01_p2_SAS0,110GB,online,icd,/icd/icd_ipostore,108GB,none,false,0GB,0GB,-,-,-,-,108GB,2GB,-,-,-,-,noida:/servers/ipostore
noiclapa01-cls-mgt,vs0,icd_mig,noiclapa01_p6_SAS0,700GB,online,default,/icd/icd_mig,264GB,it-noida,false,0GB,157GB,-,-,-,-,421GB,279GB,-,-,-,-,noida:/grid/icd/fepv
noiclapa01-cls-mgt,vs0,icd_vol02,noiclapa01_s1_SATA0,200GB,online,icd,/icd/icd_vol02,173GB,none,false,0GB,0GB,-,-,-,-,173GB,27GB,-,-,-,-,noida:/icd/SOC33
noiclapa01-cls-mgt,vs0,icd_vpsstore1,noiclapa01_p2_SAS0,200GB,online,icd,/icd/icd_vpsstore1,6GB,none,false,0GB,0GB,-,-,-,-,6GB,194GB,-,-,-,-,noida:/icd/vpsstore1
noiclapa01-cls-mgt,vs0,icdp4India_p4store_t1b,noiclapa01_p7_SAS0,1024GB,online,icd,/icd/icdp4India_p4store_t1b,102GB,none,false,0GB,27GB,-,-,-,-,129GB,895GB,-,atulg,daveu,Custom_IC_&_PCB_Group,noida:/servers/p4store
noiclapa01-cls-mgt,vs0,icdpv_write_vol01,noiclapa01_p6_SAS0,300GB,online,default,/icd/icdpv_write_vol01,11GB,it-noida,false,0GB,0GB,-,-,-,-,11GB,289GB,-,-,-,-,noida:/icd/ctepvtest52
noiclapa01-cls-mgt,vs0,ifx_6070,noiclapa01_p1_SAS0,120GB,online,cic,/cic/ifx_6070,85GB,none,false,0GB,0GB,-,-,-,-,85GB,35GB,-,-,-,-,noida:/servers/ifx_6070
