GSE-FB01,6755,yok2,cva_ptmreg6,,,
GSE-FB01,3788,yok2,cva_ptmreg7,,,
GSE-FB01,15366,yok2,cva_pv,,,
GSE-FB01,400,yok2,cva_pv_results,,,
GSE-FB01,2048,yok2,cva_pv_scratch,,,
GSE-FB01,735,yok2,cva_pv_scratch3,,,
GSE-FB01,225,yok2,cva_pv_scratch_test10,,,
GSE-FB01,160,yok2,cva_pv_scratch_test11,,,
GSE-FB01,200,yok2,cva_pv_scratch_test4,,,
GSE-FB01,100,yok2,cva_pv_scratch_test6,,,
GSE-FB01,100,yok2,cva_pv_scratch_test7,,,
GSE-FB01,200,yok2,cva_pv_scratch_test9,,,
GSE-FB01,250,yok2,cva_rpp_tools,,,
GSE-FB01,200,yok2,cva_slowness_test,,,
GSE-FB01,280,yok2,cva_source,,,
GSE-FB01,700,yok2,cva_tool_XLM_nobkup,,,
GSE-FB01,2048,yok2,cva_vb_scratch,,,
GSE-FB01,700,yok2,cva_view,,,
GSE-FB01,50,yok2,cva_vobstore,,,
GSE-FB01,95,yok2,cvapv_sa,,,
GSE-FB01,2000,yok2,ddi_infra_rd_001,,,
GSE-FB01,2,yok2,denali_cvs,,,
GSE-FB01,5,yok2,denali_designIP,,,
GSE-FB01,7680,yok2,denali_pcie,,,
GSE-FB01,2048,yok2,denali_project_vol04,,,
GSE-FB01,15712,yok2,denali_scratch_pcie,,,
GSE-FB01,12288,yok2,denali_scratch_vol03,,,
GSE-FB01,5120,yok2,denali_scratch_vol04,,,
GSE-FB01,2048,yok2,denali_t1b_project_vol03,,,
GSE-FB01,5120,yok2,denali_t1nb_scratch_usbssp,,,
GSE-FB01,160,yok2,dfm_assura1,,,
GSE-FB01,125,yok2,dfm_dft_data,,,
GSE-FB01,3264,yok2,dig_verification,,,
GSE-FB01,210,yok2,digic_celtic,,,
GSE-FB01,230,yok2,digic_pearl,,,
GSE-FB01,860,yok2,digic_soce,,,
GSE-FB01,250.0,yok2,digic_soce,,,
GSE-FB01,360,yok2,digic_timing,,,
GSE-FB01,4562,yok2,dscratch02,,,
GSE-FB01,600,yok2,dv_SunOS_x86,,,
GSE-FB01,150,yok2,dv_SunOS_x86_tools,,,
GSE-FB01,1024,yok2,dv_archive,,,
GSE-FB01,5,yok2,dv_autointeg,,,
GSE-FB01,1228,yok2,dv_ep_new,,,
GSE-FB01,1500,yok2,dv_linux,,,
GSE-FB01,10,yok2,dv_locks,,,
GSE-FB01,11534,yok2,dv_project,,,
GSE-FB01,1024,yok2,dv_project1,,,
GSE-FB01,10,yok2,dv_reviewboard,,,
GSE-FB01,500,yok2,dv_sc_header_integ_t2nb,,,
GSE-FB01,1048,yok2,dv_scratch_bk,,,
GSE-FB01,200,yok2,eps2,,,
GSE-FB01,1000,yok2,esd_noida,,,
GSE-FB01,210,yok2,et_noi_T1_vol01,,,
GSE-FB01,1307,yok2,ethernetphy,,,
GSE-FB01,400,yok2,fac_regression,,,
GSE-FB01,500,yok2,fattire,,,
GSE-FB01,50,yok2,fed_T1B_v9201,,,
GSE-FB01,902,yok2,fed_T1_3211,,,
GSE-FB01,1790,yok2,fed_T2B_5210,,,
GSE-FB01,200,yok2,fed_T2B_v0202,,,
GSE-FB01,1022,yok2,fed_T2B_v9201,,,
GSE-FB01,200,yok2,fed_T2_5311,,,
GSE-FB01,500,yok2,fed_T2_6303,,,
GSE-FB01,1290,yok2,fed_noi_T2_vol03,,,
GSE-FB01,0,yok2,fed_temporary_space,,,
GSE-FB01,4024,yok2,digital_&_signoff_group_fed_temporary_space_till25thAug2021,,,
GSE-FB01,2662,yok2,fed_vol01,,,
GSE-FB01,10,yok2,flex_user,,,
GSE-FB01,60,yok2,flex_vol_atulg,,,
GSE-FB01,60,yok2,flex_vol_atulg_flexclone1,,,
GSE-FB01,5,yok2,flexlogs,,,
GSE-FB01,500,yok2,flowtest_testing,,,
GSE-FB01,210,yok2,forrest,,,
GSE-FB01,2048,yok2,forrest_nosnap,,,
GSE-FB01,12564,yok2,fsc_vol1,,,
GSE-FB01,160,yok2,gargim_vol1,,,
GSE-FB01,494,yok2,gcc_clarity3d,,,
GSE-FB01,325,yok2,gcc_icd_users,,,
GSE-FB01,1150,yok2,gcc_vol01,,,
GSE-FB01,1805,yok2,graphite_data,,,
GSE-FB01,400,yok2,graphite_data_new,,,
GSE-FB01,10,yok2,grid_common_vippv_t1nb,,,
GSE-FB01,100,yok2,grid_ilab,,,
GSE-FB01,50,yok2,grid_ilab_vol02,,,
GSE-FB01,120,yok2,grid_it_common,,,
GSE-FB01,60,yok2,grid_madajaju,,,
GSE-FB01,1382,yok2,grid_sfi,,,
GSE-FB01,50,yok2,grid_sfi_admin,,,
GSE-FB01,50,yok2,ww_it_admin_grid_sfi_farm1,,,
GSE-FB01,733,yok2,grp_extpv,,,
GSE-FB01,200,yok2,gsaurabh_vol,,,
GSE-FB01,10,yok2,guptar_data,,,
GSE-FB01,200,yok2,guptar_vol1,,,
GSE-FB01,700,yok2,haifa_scratch,,,
GSE-FB01,200,yok2,harsha_vol1,,,
GSE-FB01,3072,yok2,hdmidp,,,
GSE-FB01,1000,yok2,hgroot_noida,,,
GSE-FB01,1024,yok2,hierflow,,,
GSE-FB01,200,yok2,hls_lgb,,,
GSE-FB01,200,yok2,hls_release,,,
GSE-FB01,10,yok2,home_webstorage_noida,,,
GSE-FB01,2560,yok2,hsv_t1b_p4_02,,,
GSE-FB01,200,yok2,custom_ic_&_pcb_group_icd_ccache_t1nb,,,
GSE-FB01,3154,yok2,icd_cmstore2,,,
GSE-FB01,250,yok2,custom_ic_&_pcb_group_icd_common,,,
GSE-FB01,120,yok2,icd_dsk_home,,,
GSE-FB01,30,yok2,icd_ft,,,
GSE-FB01,110,yok2,icd_ipostore,,,
GSE-FB01,700,yok2,icd_mig,,,
GSE-FB01,200,yok2,icd_vol02,,,
GSE-FB01,200,yok2,icd_vpsstore1,,,
GSE-FB01,1024,yok2,custom_ic_&_pcb_group_icdp4India_p4store_t1b,,,
GSE-FB01,300,yok2,icdpv_write_vol01,,,
GSE-FB01,120,yok2,ifx_6070,,,
GSE-FB01,9610,yok2,il_rels_all,,,
GSE-FB01,225,yok2,import,,,
GSE-FB01,500,yok2,inciccm_v11,,,
GSE-FB01,2671,yok2,inciccm_v41,,,
GSE-FB01,120,yok2,incicpv_ifx,,,
GSE-FB01,120,yok2,incicpv_ifx2,,,
GSE-FB01,1487,yok2,incicpv_perf,,,
GSE-FB01,100,yok2,incicpv_v1,,,
GSE-FB01,50,yok2,incicpv_v2,,,
GSE-FB01,200,yok2,incicpv_v3,,,
GSE-FB01,646,yok2,incicpv_v4,,,
GSE-FB01,1226,yok2,incicpv_v5,,,
GSE-FB01,0,yok2,incicpv_v6,,,
GSE-FB01,1872,yok2,incicpv_v7,,,
GSE-FB01,3276,yok2,incicpv_v8,,,
GSE-FB01,1090,yok2,indago,,,
GSE-FB01,100,yok2,infosec_vol01,,,
GSE-FB01,2048,yok2,ipg_sdhc,,,
GSE-FB01,3260,yok2,it_home,,,
GSE-FB01,50,yok2,it_oracle_images,,,
GSE-FB01,1,yok2,jasper_fav_scripts,,,
GSE-FB01,10,yok2,jasper_reg_diva,,,
GSE-FB01,3797,yok2,jasper_stor_home,,,
GSE-FB01,13043,yok2,jasper_valve5,,,
GSE-FB01,1024,yok2,jenkins_data,,,
GSE-FB01,150,yok2,jenkins_space,,,
GSE-FB01,4710,yok2,jg_t1b_build,,,
GSE-FB01,1639,yok2,jg_t2b_test,,,
GSE-FB01,150,yok2,jganesh_vol,,,
GSE-FB01,150,yok2,jganesh_vol1,,,
GSE-FB01,700,yok2,kat_USBHS,,,
GSE-FB01,50,yok2,kb_backup,,,
GSE-FB01,150,yok2,kumard_vol,,,
GSE-FB01,150,yok2,kumard_vol1,,,
GSE-FB01,250,yok2,kunal_testvol,,,
GSE-FB01,80,yok2,lbansal_nrm_nocc_final,,,
GSE-FB01,150,yok2,lbansal_nrm_nocc_test,,,
GSE-FB01,100,yok2,lbansal_nrm_snapview_test,,,
GSE-FB01,50,yok2,mauj_test,,,
GSE-FB01,100,yok2,custom_ic_&_pcb_group_mfg_release,,,
GSE-FB01,50,yok2,mmsimcm_v1,,,
GSE-FB01,4608,yok2,modus_asan_runs,,,
GSE-FB01,200,yok2,mroy_vol1,,,
GSE-FB01,215,yok2,nagios_backup,,,
GSE-FB01,5,yok2,noi01nb01_DR,,,
GSE-FB01,10,yok2,noi02nb01_DR,,,
GSE-FB01,57344,yok2,noi02nb03_D2D_Vol1,,,
GSE-FB01,850,yok2,noi_db_grafana,,,
GSE-FB01,100,yok2,noi_eod,,,
GSE-FB01,1000,yok2,noida_ead,,,
GSE-FB01,1524,yok2,noida_p4server_backup,,,
GSE-FB01,250,yok2,noivdi_images,,,
GSE-FB01,500,yok2,noiwebdb_backup,,,
GSE-FB01,100,yok2,p4Cmnd,,,
GSE-FB01,100,yok2,p4Cusers01nd,,,
GSE-FB01,1024,yok2,p4_ptm,,,
GSE-FB01,1410,yok2,p4_pv,,,
GSE-FB01,5632,yok2,p4depotdata_vipp4in,,,
GSE-FB01,6144,yok2,p4depotdata_vipp4in_abc,,,
GSE-FB01,125,yok2,p4m,,,
GSE-FB01,125,yok2,p4mC,,,
GSE-FB01,125,yok2,p4mnd,,,
GSE-FB01,1000,yok2,p4users,,,
GSE-FB01,1024,yok2,p4users01hsvnd,,,
GSE-FB01,50,yok2,pcie_ide,,,
GSE-FB01,300,yok2,pcie_vip_perforce,,,
GSE-FB01,3072,yok2,perf,,,
GSE-FB01,200,yok2,poc_avs151_rel,,,
GSE-FB01,100,yok2,poc_avs151_rel_msCust_india_sfv_noreldirs,,,
GSE-FB01,500,yok2,process,,,
GSE-FB01,500,yok2,proj15a,,,
GSE-FB01,500.0,yok2,proj15a,,,
GSE-FB01,2048,yok2,psd_psdstore7,,,
GSE-FB01,900,yok2,psf_xl_benchmark,,,
GSE-FB01,128,yok2,ptmExportArea,,,
GSE-FB01,15,yok2,pubtools_munish_temp,,,
GSE-FB01,5,yok2,pv_abv_pv,,,
GSE-FB01,270,yok2,pv_dv_pv,,,
GSE-FB01,45,yok2,pv_qa_repository,,,
GSE-FB01,500,yok2,pv_qor_test,,,
GSE-FB01,2,yok2,pv_scratch_rpp,,,
GSE-FB01,125,yok2,pv_tvm,,,
GSE-FB01,12126,yok2,pv_voltus_t1b_001,,,
GSE-FB01,6213,yok2,pv_voltus_t1b_002,,,
GSE-FB01,2560,yok2,qrc_n16_pilot,,,
GSE-FB01,100,yok2,r_old,,,
GSE-FB01,100,yok2,r_regress,,,
GSE-FB01,100,yok2,r_repos,,,
GSE-FB01,1486,yok2,r_scratch,,,
